; ===========================================================
; SYNTHETIC RFQ DEMONSTRATION DECK — generated, do not hand-edit
;   regenerate with:  python3 make_rfq_demo.py
;
; A conventional four-section RFQ (shaper / gentle buncher /
; accelerator) built from textbook two-term design relations.
RFQ_CELL 85000 3.4 0.019202 1.0443 5.3808 -89.9720 -2
RFQ_CELL 85000 3.4 0.019525 1.0451 5.3809 -89.9640 2
RFQ_CELL 85000 3.4 0.019876 1.0459 5.3809 -89.9545 -2
RFQ_CELL 85000 3.4 0.020256 1.0468 5.3810 -89.9433 2
RFQ_CELL 85000 3.4 0.020665 1.0478 5.3810 -89.9303 -2
RFQ_CELL 85000 3.4 0.021104 1.0488 5.3811 -89.9153 2
RFQ_CELL 85000 3.4 0.021573 1.0499 5.3812 -89.8983 -2
RFQ_CELL 85000 3.4 0.022072 1.0511 5.3813 -89.8789 2
RFQ_CELL 85000 3.4 0.022601 1.0523 5.3815 -89.8570 -2
RFQ_CELL 85000 3.4 0.023161 1.0537 5.3817 -89.8325 2
RFQ_CELL 85000 3.4 0.023751 1.0551 5.3819 -89.8052 -2
RFQ_CELL 85000 3.4 0.024373 1.0566 5.3822 -89.7749 2
RFQ_CELL 85000 3.4 0.025025 1.0581 5.3825 -89.7413 -2
RFQ_CELL 85000 3.4 0.025709 1.0597 5.3829 -89.7044 2
RFQ_CELL 85000 3.4 0.026425 1.0614 5.3833 -89.6640 -2
RFQ_CELL 85000 3.4 0.027172 1.0632 5.3838 -89.6197 2
RFQ_CELL 85000 3.4 0.027951 1.0651 5.3844 -89.5716 -2
RFQ_CELL 85000 3.4 0.028763 1.0670 5.3851 -89.5192 2
RFQ_CELL 85000 3.4 0.029606 1.0691 5.3859 -89.4625 -2
RFQ_CELL 85000 3.4 0.030482 1.0712 5.3868 -89.4012 2
RFQ_CELL 85000 3.4 0.031391 1.0734 5.3879 -89.3352 -2
RFQ_CELL 85000 3.4 0.032333 1.0756 5.3891 -89.2642 2
RFQ_CELL 85000 3.4 0.033308 1.0780 5.3905 -89.1880 -2
RFQ_CELL 85000 3.4 0.034317 1.0804 5.3920 -89.1064 2
RFQ_CELL 85000 3.4 0.035359 1.0829 5.3938 -89.0191 -2
RFQ_CELL 85000 3.4 0.036435 1.0855 5.3958 -88.9260 2
RFQ_CELL 85000 3.4 0.037546 1.0882 5.3981 -88.8268 -2
RFQ_CELL 85000 3.4 0.038692 1.0909 5.4006 -88.7214 2
RFQ_CELL 85000 3.4 0.039873 1.0938 5.4035 -88.6094 -2
RFQ_CELL 85000 3.4 0.041091 1.0967 5.4067 -88.4907 2
RFQ_CELL 85000 3.4 0.042344 1.0997 5.4102 -88.3650 -2
RFQ_CELL 85000 3.4 0.043635 1.1028 5.4142 -88.2320 2
RFQ_CELL 85000 3.4 0.044964 1.1060 5.4186 -88.0916 -2
RFQ_CELL 85000 3.4 0.046332 1.1093 5.4235 -87.9436 2
RFQ_CELL 85000 3.4 0.047740 1.1126 5.4290 -87.7876 -2
RFQ_CELL 85000 3.4 0.049188 1.1161 5.4350 -87.6234 2
RFQ_CELL 85000 3.4 0.050678 1.1196 5.4417 -87.4508 -2
RFQ_CELL 85000 3.4 0.052212 1.1232 5.4490 -87.2696 2
RFQ_CELL 85000 3.4 0.053790 1.1269 5.4571 -87.0794 -2
RFQ_CELL 85000 3.4 0.055414 1.1307 5.4660 -86.8801 2
RFQ_CELL 85000 3.4 0.057086 1.1346 5.4758 -86.6713 -2
RFQ_CELL 85000 3.4 0.058808 1.1385 5.4865 -86.4529 2
RFQ_CELL 85000 3.4 0.060581 1.1426 5.4982 -86.2245 -2
RFQ_CELL 85000 3.4 0.062408 1.1468 5.5110 -85.9860 2
RFQ_CELL 85000 3.4 0.064292 1.1510 5.5249 -85.7370 -2
RFQ_CELL 85000 3.4 0.066234 1.1553 5.5401 -85.4774 2
RFQ_CELL 85000 3.4 0.068239 1.1597 5.5567 -85.2067 -2
RFQ_CELL 85000 3.4 0.070308 1.1643 5.5746 -84.9248 2
RFQ_CELL 85000 3.4 0.072444 1.1689 5.5941 -84.6314 -2
RFQ_CELL 85000 3.4 0.074653 1.1735 5.6153 -84.3263 2
RFQ_CELL 85000 3.4 0.076936 1.1783 5.6381 -84.0091 -2
RFQ_CELL 85000 3.4 0.079298 1.1832 5.6628 -83.6796 2
RFQ_CELL 85000 3.4 0.081743 1.1882 5.6895 -83.3374 -2
RFQ_CELL 85000 3.4 0.084275 1.1932 5.7183 -82.9825 2
RFQ_CELL 85000 3.4 0.086900 1.1984 5.7493 -82.6143 -2
RFQ_CELL 85000 3.4 0.089621 1.2036 5.7826 -82.2328 2
RFQ_CELL 85000 3.4 0.092443 1.2090 5.8185 -81.8375 -2
RFQ_CELL 85000 3.4 0.095371 1.2144 5.8569 -81.4283 2
RFQ_CELL 85000 3.4 0.098411 1.2199 5.8981 -81.0047 -2
RFQ_CELL 85000 3.4 0.101568 1.2256 5.9422 -80.5666 2
RFQ_CELL 85000 3.4 0.104847 1.2313 5.9894 -80.1137 -2
RFQ_CELL 85000 3.4 0.108253 1.2371 6.0398 -79.6456 2
RFQ_CELL 85000 3.4 0.111792 1.2430 6.0936 -79.1621 -2
RFQ_CELL 85000 3.4 0.115468 1.2490 6.1510 -78.6629 2
RFQ_CELL 85000 3.4 0.119287 1.2551 6.2120 -78.1476 -2
RFQ_CELL 85000 3.4 0.123253 1.2613 6.2769 -77.6161 2
RFQ_CELL 85000 3.4 0.127370 1.2676 6.3459 -77.0679 -2
RFQ_CELL 85000 3.4 0.131643 1.2740 6.4190 -76.5029 2
RFQ_CELL 85000 3.4 0.136076 1.2805 6.4966 -75.9206 -2
RFQ_CELL 85000 3.4 0.140671 1.2870 6.5787 -75.3208 2
RFQ_CELL 85000 3.4 0.145430 1.2937 6.6655 -74.7032 -2
RFQ_CELL 85000 3.4 0.150356 1.3005 6.7571 -74.0674 2
RFQ_CELL 85000 3.4 0.155449 1.3074 6.8538 -73.4133 -2
RFQ_CELL 85000 3.4 0.160709 1.3143 6.9557 -72.7404 2
RFQ_CELL 85000 3.4 0.166136 1.3214 7.0630 -72.0485 -2
RFQ_CELL 85000 3.4 0.171728 1.3286 7.1757 -71.3372 2
RFQ_CELL 85000 3.4 0.177482 1.3358 7.2940 -70.6062 -2
RFQ_CELL 85000 3.4 0.183395 1.3432 7.4181 -69.8553 2
RFQ_CELL 85000 3.4 0.189462 1.3506 7.5480 -69.0841 -2
RFQ_CELL 85000 3.4 0.195677 1.3582 7.6839 -68.2923 2
RFQ_CELL 85000 3.4 0.202034 1.3659 7.8260 -67.4795 -2
RFQ_CELL 85000 3.4 0.208526 1.3736 7.9741 -66.6455 2
RFQ_CELL 85000 3.4 0.215145 1.3815 8.1285 -65.7899 -2
RFQ_CELL 85000 3.4 0.221882 1.3894 8.2893 -64.9125 2
RFQ_CELL 85000 3.4 0.228728 1.3975 8.4564 -64.0128 -2
RFQ_CELL 85000 3.4 0.235672 1.4057 8.6299 -63.0906 2
RFQ_CELL 85000 3.4 0.242706 1.4139 8.8098 -62.1455 -2
RFQ_CELL 85000 3.4 0.249818 1.4223 8.9962 -61.1772 2
RFQ_CELL 85000 3.4 0.256997 1.4307 9.1890 -60.1854 -2
RFQ_CELL 85000 3.4 0.264235 1.4393 9.3883 -59.1698 2
RFQ_CELL 85000 3.4 0.271519 1.4480 9.5939 -58.1300 -2
RFQ_CELL 85000 3.4 0.278840 1.4567 9.8060 -57.0656 2
RFQ_CELL 85000 3.4 0.286188 1.4656 10.0243 -55.9764 -2
RFQ_CELL 85000 3.4 0.293553 1.4746 10.2489 -54.8621 2
RFQ_CELL 85000 3.4 0.300926 1.4836 10.4797 -53.7222 -2
RFQ_CELL 85000 3.4 0.308299 1.4928 10.7166 -52.5565 2
RFQ_CELL 85000 3.4 0.315664 1.5021 10.9594 -51.3645 -2
RFQ_CELL 85000 3.4 0.323013 1.5115 11.2082 -50.1461 2
RFQ_CELL 85000 3.4 0.330339 1.5209 11.4627 -48.9007 -2
RFQ_CELL 85000 3.4 0.337637 1.5305 11.7229 -47.6282 2
RFQ_CELL 85000 3.4 0.344899 1.5402 11.9886 -46.3280 -2
RFQ_CELL 85000 3.4 0.352122 1.5500 12.2597 -45.0000 2
RFQ_CELL 85000 3.4 0.354546 1.5500 12.5360 -45.0000 -2
RFQ_CELL 85000 3.4 0.368394 1.5742 12.8074 -44.3111 2
RFQ_CELL 85000 3.4 0.377759 1.5893 13.0859 -43.8005 -2
RFQ_CELL 85000 3.4 0.385946 1.6022 13.3672 -43.3410 2
RFQ_CELL 85000 3.4 0.393413 1.6139 13.6500 -42.9116 -2
RFQ_CELL 85000 3.4 0.400356 1.6247 13.9337 -42.5035 2
RFQ_CELL 85000 3.4 0.406883 1.6348 14.2178 -42.1115 -2
RFQ_CELL 85000 3.4 0.413063 1.6445 14.5021 -41.7323 2
RFQ_CELL 85000 3.4 0.418944 1.6537 14.7861 -41.3639 -2
RFQ_CELL 85000 3.4 0.424562 1.6627 15.0698 -41.0047 2
RFQ_CELL 85000 3.4 0.429945 1.6713 15.3530 -40.6533 -2
RFQ_CELL 85000 3.4 0.435115 1.6797 15.6356 -40.3089 2
RFQ_CELL 85000 3.4 0.440092 1.6878 15.9174 -39.9707 -2
RFQ_CELL 85000 3.4 0.444891 1.6957 16.1985 -39.6382 2
RFQ_CELL 85000 3.4 0.449526 1.7035 16.4787 -39.3107 -2
RFQ_CELL 85000 3.4 0.454008 1.7111 16.7580 -38.9878 2
RFQ_CELL 85000 3.4 0.458349 1.7185 17.0363 -38.6693 -2
RFQ_CELL 85000 3.4 0.462557 1.7258 17.3137 -38.3546 2
RFQ_CELL 85000 3.4 0.466641 1.7330 17.5900 -38.0437 -2
RFQ_CELL 85000 3.4 0.470609 1.7401 17.8653 -37.7362 2
RFQ_CELL 85000 3.4 0.474467 1.7470 18.1396 -37.4320 -2
RFQ_CELL 85000 3.4 0.478222 1.7539 18.4128 -37.1307 2
RFQ_CELL 85000 3.4 0.481878 1.7606 18.6849 -36.8324 -2
RFQ_CELL 85000 3.4 0.485442 1.7673 18.9560 -36.5367 2
RFQ_CELL 85000 3.4 0.488919 1.7738 19.2259 -36.2436 -2
RFQ_CELL 85000 3.4 0.492312 1.7803 19.4949 -35.9529 2
RFQ_CELL 85000 3.4 0.495626 1.7867 19.7627 -35.6645 -2
RFQ_CELL 85000 3.4 0.498864 1.7931 20.0295 -35.3783 2
RFQ_CELL 85000 3.4 0.502030 1.7994 20.2953 -35.0943 -2
RFQ_CELL 85000 3.4 0.505128 1.8056 20.5599 -34.8123 2
RFQ_CELL 85000 3.4 0.508160 1.8117 20.8236 -34.5322 -2
RFQ_CELL 85000 3.4 0.511129 1.8178 21.0861 -34.2540 2
RFQ_CELL 85000 3.4 0.514039 1.8238 21.3477 -33.9775 -2
RFQ_CELL 85000 3.4 0.516890 1.8297 21.6082 -33.7028 2
RFQ_CELL 85000 3.4 0.519687 1.8357 21.8677 -33.4298 -2
RFQ_CELL 85000 3.4 0.522430 1.8415 22.1262 -33.1583 2
RFQ_CELL 85000 3.4 0.525122 1.8473 22.3837 -32.8884 -2
RFQ_CELL 85000 3.4 0.527765 1.8531 22.6403 -32.6200 2
RFQ_CELL 85000 3.4 0.530361 1.8588 22.8958 -32.3531 -2
RFQ_CELL 85000 3.4 0.532912 1.8644 23.1504 -32.0875 2
RFQ_CELL 85000 3.4 0.535419 1.8701 23.4040 -31.8233 -2
RFQ_CELL 85000 3.4 0.537883 1.8757 23.6566 -31.5604 2
RFQ_CELL 85000 3.4 0.540307 1.8812 23.9084 -31.2988 -2
RFQ_CELL 85000 3.4 0.542691 1.8867 24.1592 -31.0385 2
RFQ_CELL 85000 3.4 0.545037 1.8922 24.4090 -30.7793 -2
RFQ_CELL 85000 3.4 0.547346 1.8976 24.6580 -30.5213 2
RFQ_CELL 85000 3.4 0.549619 1.9030 24.9061 -30.2645 -2
RFQ_CELL 85000 3.4 0.551858 1.9083 25.1532 -30.0088 2
RFQ_CELL 85000 3.4 0.554064 1.9136 25.3995 -29.7541 -2
RFQ_CELL 85000 3.4 0.556237 1.9189 25.6449 -29.5006 2
RFQ_CELL 85000 3.4 0.558378 1.9242 25.8895 -29.2480 -2
RFQ_CELL 85000 3.4 0.560489 1.9294 26.1332 -28.9965 2
RFQ_CELL 85000 3.4 0.562571 1.9346 26.3760 -28.7460 -2
RFQ_CELL 85000 3.4 0.564623 1.9398 26.6180 -28.4964 2
RFQ_CELL 85000 3.4 0.566648 1.9449 26.8592 -28.2477 -2
RFQ_CELL 85000 3.4 0.568645 1.9500 27.0996 -28.0000 2
; exit matcher
RFQ_CELL 85000 3.4 0 1 27.0996 -90 -3

END
